,user,averages_distance,variances_distance
9,theswingingturtle,0.23,299.28922874761514
10,11187156787,0.27,265.22131158705054
11,rainbanquo,0.17,144.99033124646454
12,1276640268,0.2,98.68345330994649
13,eliary123,0.1,97.98382158759772
14,allanmoura1,0.15,465.2681414410293
15,p1ebwx7jjtjkqo3yoo7ml8r8l,0.17,224.61237735321046
16,cbellkep,0.13,212.15588829489133
17,21osoav3gcnkbuyagdj4cthci,0.16,61.27206136490679
18,szhny45mgwd5env9uzusoedbv,0.1,151.08693127658162
19,22wzdfa77jayuly6ggaxa6plq,0.25,181.6142431520476
20,xecxyij55mozhl87xpv93icw4,0.2,116.65541517665977
21,indiemusicpromo,0.41,244.70317892748957
22,w12jky51c03wildfb6s7tn9xy,0.25,141.1468954221621
23,jayhonest,0.2,233.18750225054646
24,jfmqo0g8mtgg928lkoos1g3uj,0.26,144.35013017308088
25,1245697836,0.38,549.4078180343911
